Callidus v15,,
No,Name,Value
1,A1,DFPlayer Mini
2,A2,Raspberry Pi Pico
3,A3,TB6612FNG
4,A4,S13V30F5
5,C1,100nF
6,C2,100nF
7,C3,100nF
8,C4,100nF
9,C5,100nF
10,C6,1-100uF
11,C7,1-100uF
12,C8,100n/50V
13,C9,100nF
14,D1,SS13A
15,D2,LED red
16,D3,LED red
17,D4,LED red
18,D5,LED red
19,F1,5A miniOTO
20,J1,.1" Header Male
21,J2,.1" Header Male
22,J3,.1" Header Male
23,J4,.1" Header Male
24,J5,.1" Header Male
25,J6,.1" Header Male
26,J7,.1" Header Male
27,J8,.1" Header Male
28,J9,.1" Header Male
29,J10,.1" Header Male
30,J11,.1" Header Male
31,J12,.1" Header Male
32,J13,.1" Header Male
33,J14,.1" Header Male
34,J15,XT30PW-M
35,JP1,.1" Header Male
36,R1,10k
37,R2,10k
38,R3,4.7k
39,R4,2.2k
40,R5,10k
41,R6,4.7k
42,R7,10k
43,R8,10k
44,R9,10k
45,R10,4.7k
46,R11,4.7k
47,R12,10k
48,R13,10k
49,R14,10k
50,R15,10k
51,R16,2.2k
52,R17,10k
53,R18,10k
54,R19,10k
55,R20,10k
56,R21,2.2k
57,R22,1k
58,SW1,OS102011MS2Q
59,U1,MIC2025-1
60,U2,SN74LVC2G07DBVR 
61,U3,PCA9306DCTR
62,U4,TC4S66F
63,U5,24FC01T-I/OT
